column,dtype,missing_count,missing_pct,n_unique,sample_values
row_id,str,0,0.0,241921,"1-253374239, 1-423612680, 1-137031319, 5-582841478, 2-82460179"
issue_date,str,0,0.0,4682,"2019-07-04T00:00:00.000, 2022-04-26T00:00:00.000, 2013-04-03T00:00:00.000, 2025-09-04T00:00:00.000, 2009-02-02T00:00:00.000"
permit_date,str,0,0.0,4682,"2019-07-04T00:00:00.000, 2022-04-26T00:00:00.000, 2013-04-03T00:00:00.000, 2025-09-04T00:00:00.000, 2009-02-02T00:00:00.000"
year,int64,0,0.0,18,"2019, 2022, 2013, 2025, 2009"
month_number,int64,0,0.0,12,"7, 4, 9, 2, 3"
job_category,str,0,0.0,12,"Commercial Final, Other Miscellaneous Building, Home Improvement, Commercial Footing / Foundation, Commercial Demolition"
job_description,str,42,0.02,161421,"To construct an LRT Station (Davies Station) on City Road Right-of-Way, To construct Interior Alterations to an Existing LRT station.   Central LRT Station, To construct interior alterations to a semi-detached house. (Basement Developments) (No Secondary Suites), To construct an Accessory building (Mutual detached Garage, 6.10m x 13.82m)., To construct a storage building  (Totem Building Supplies). Tent."
building_type,str,2337,0.97,71,"Transportation Terminals (440), Semi-Detached House (210), Temporary Structures (999), Office Buildings (520), Malls, Office/Retail (512)"
work_type,str,59905,24.76,27,"(01) New, (03) Interior Alterations, (03) Exterior Alterations, (99) Demolition, (12) Move Building OnSite"
construction_value,float64,34126,14.11,23564,"20150000.0, 3000000.0, 8000.0, 150000.0, 1000000.0"
floor_area,float64,98029,40.52,14628,"39815.0, 592.01, 748.0, 12892.0, 5476.0"
units_added,float64,59717,24.68,239,"0.0, 44.0, 3.0, 71.0, 8.0"
address,str,68,0.03,150813,"100 - DAVIES LRT STATION NW, 100 - CENTRAL LRT STATION NW, 9018 - 91 STREET NW, 2, 12036 - 95 STREET NW, 3111 - 76 AVENUE NW"
neighbourhood_numberr,str,52,0.02,491,"6170, 1090, 1010, 6690, 5505"
neighbourhood,str,52,0.02,491,"DAVIES INDUSTRIAL WEST, DOWNTOWN, ALBERTA AVENUE, SOUTHEAST INDUSTRIAL, AMBLESIDE"
count,int64,0,0.0,1,1
legal_description,str,234,0.1,132400,"Plan 1323779 Blk 7 Lot 31A, Plan 2521391 Blk 5 Lot 5B, Plan 2420072 Blk 1 Lot 1, Plan 1124080 Blk 14 Lot 21, Plan 8421891 Blk 28 Lot 6"
zoning,str,14226,5.88,981,"RS, RS, IM, CSCa, DC2, DC, DC2"
latitude,float64,15211,6.29,139084,"53.51026241866532, 53.43758935126753, 53.522713555201165, 53.48578761263797, 53.59136468232304"
longitude,float64,15211,6.29,139084,"-113.38691967910208, -113.60328823162372, -113.62494764625916, -113.51341203824146, -113.5404099198193"
location,str,15211,6.29,139084,"{'latitude': '53.51026241866532', 'longitude': '-113.38691967910208', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}, {'latitude': '53.43758935126753', 'longitude': '-113.60328823162372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}, {'latitude': '53.522713555201165', 'longitude': '-113.62494764625916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}, {'latitude': '53.485787612637964', 'longitude': '-113.51341203824146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}, {'latitude': '53.59136468232304', 'longitude': '-113.5404099198193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
geometry_point,str,15211,6.29,139084,"{'type': 'Point', 'coordinates': [-113.38691967910208, 53.51026241866532]}, {'type': 'Point', 'coordinates': [-113.60328823162372, 53.43758935126753]}, {'type': 'Point', 'coordinates': [-113.62494764625916, 53.522713555201165]}, {'type': 'Point', 'coordinates': [-113.51341203824146, 53.485787612637964]}, {'type': 'Point', 'coordinates': [-113.5404099198193, 53.59136468232304]}"
:@computed_region_7ccj_gre3,float64,15211,6.29,391,"349.0, 306.0, 28.0, 26.0, 70.0"
:@computed_region_ecxu_fw7u,float64,15270,6.31,238,"38.0, 78.0, 95.0, 19.0, 104.0"
:@computed_region_izdr_ja4x,float64,15270,6.31,9,"7.0, 8.0, 3.0, 6.0, 1.0"
:@computed_region_5jki_au6x,float64,15270,6.31,7,"5.0, 6.0, 4.0, 1.0, 7.0"
:@computed_region_mnf4_kaez,float64,15270,6.31,12,"3.0, 12.0, 1.0, 2.0, 5.0"
:@computed_region_eq8d_jmrp,float64,15270,6.31,387,"335.0, 8.0, 346.0, 129.0, 66.0"
:@computed_region_da6r_6gkw,float64,15270,6.31,12,"11.0, 9.0, 1.0, 10.0, 2.0"
:@computed_region_bhid_jnzh,float64,15270,6.31,381,"329.0, 8.0, 340.0, 123.0, 59.0"
bia,str,231751,95.8,13,"The Crossroads, Old Strathcona, Downtown, Alberta Avenue, North Edge"
occupancy_granted_date,str,218173,90.18,1182,"2024-07-15, 2025-12-12, 2025-01-27, 2024-11-21, 2025-01-29"
